Time,rotX,rotY,rotZ
1503530526837,-0.0012664795,0.00047302246,0.0024261475
1503530526887,-0.0021078921854496002,0.00047738198190927505,0.0026615671813488007
1503530526937,-0.0014910576865077019,0.0006976006552577019,0.003675021231174469
1503530526987,-0.0019624754786491394,0.0009898524731397629,0.0032461844384670258
1503530527037,-0.001896396279335022,0.0008509699255228043,0.0034066224470734596
1503530527087,-0.0012664795,0.0004904614761471748,0.0032980777323246002
1503530527137,-0.0014160126447677612,0.0007720924913883209,0.0034301765263080597
1503530527187,-0.0026964470744132996,0.0014975406229496002,0.0029623843729496002
1503530527237,-0.002094813622534275,0.0011138916,0.0038430355489253998
1503530527287,-0.0018774410709738731,0.0011437991634011269,0.003310547210276127
1503530527337,-0.0016937256,0.001171749085187912,0.0035254154354333878
1503530527387,-0.0016168206930160522,0.0002593994,0.003592532128095627
1503530527437,-0.0013057161122560501,0.00018092431128025055,0.0030670166
1503530527487,-0.0015672966837882996,6.541609764099121e-06,0.0031106136739253998
1503530527537,-0.0017634816467761993,0.0005427747964859009,0.003328596241772175
1503530527587,-0.001317748799920082,0.0001995861530303955,0.003442993387579918
1503530527637,-0.0014801025,0.0006866455,0.0032806396000000003
1503530527687,-0.0017578117549419403,0.0007421867921948433,0.003169555217027664
1503530527737,-0.0023781917989253998,0.0010136198252439499,0.0028533936
1503530527787,-0.0019073485999999999,0.0010223388671875,0.0033416748046875
1503530527837,-0.0018419530242681503,0.0003901887685060501,0.0043007992208004
1503530527887,-0.0016937256,0.0006866455,0.00363813154399395
1503530527937,-0.0017678402364253998,0.0005384162068367004,0.0037166066467761993
1503530527987,-0.0019842535257339478,0.0004132073372602463,0.003904420882463455
1503530528037,-0.0022779200226068497,0.0006866455,0.003415788523852825
1503530528087,-0.00246538408100605,0.0009351484477519989,0.0030321404337882996
1503530528137,-0.00216020829975605,0.0009787417948246002,0.0030757375061511993
1503530528187,-0.001997070387005806,0.0007421858608722687,0.003887329250574112
1503530528237,-0.0019378662109375,0.0011138916,0.004043580032885075
1503530528287,-0.0015997309237718582,0.0006439201533794403,0.003639526665210724
1503530528337,-0.0014801025,0.0005353279411792755,0.002986907958984375
1503530528387,-0.0017877183854579926,0.0012164302170276642,0.003255002200603485
1503530528437,-0.0019117090851068497,0.0011182520538568497,0.0041307732462882996
1503530528487,-0.001373291015625,0.000579833984375,0.0039215087890625
1503530528537,-0.0017068013548851013,0.0002593994,0.003821238875389099
1503530528587,-0.0023345947,0.0005994550883769989,0.003795076161623001
1503530528637,-0.0023345947,0.0009002685499999999,0.0034942627000000004
1503530528687,-0.0017242431640625,0.0006561279296875,0.0036163330078125
1503530528737,-0.0016381852328777313,0.00022521987557411194,0.003583984449505806
1503530528787,-0.001780918799340725,0.00017220620065927505,0.003367832861840725
1503530528837,-0.0014321468770503998,0.0003901896998286247,0.0036730095744132996
1503530528887,-0.001398925669491291,0.0007379148155450821,0.004053954966366291
