Time,accX,accY,accZ
1503530531484,0.19869995,-0.24945068,9.119095
1503530531494,0.19631958,-0.21136475,9.1167145
1503530531504,0.21298218,-0.22088623,9.078629
1503530531513,0.15823364,-0.23040771,9.133377
1503530531523,0.120147705,-0.21612549,9.114334
1503530531533,0.19155884,-0.21850586,9.073868
1503530531543,0.20108032,-0.206604,9.069107
1503530531553,0.14633179,-0.20184326,9.083389
1503530531562,0.16775513,-0.22564697,9.095291
1503530531572,0.1867981,-0.20898438,9.192886
1503530531582,0.17727661,-0.1899414,9.157181
1503530531592,0.20822144,-0.23040771,9.08577
1503530531602,0.18917847,-0.25421143,8.985794
1503530531611,0.2106018,-0.19708252,9.15004
1503530531622,0.1701355,-0.2232666,9.128616
1503530531632,0.19393921,-0.22802734,9.092911
1503530531641,0.1701355,-0.21374512,9.064346
1503530531651,0.20584106,-0.2399292,9.123856
1503530531661,0.18203735,-0.2232666,9.092911
1503530531671,0.14395142,-0.21850586,9.104813
1503530531681,0.18441772,-0.21612549,9.178604
1503530531691,0.12728882,-0.25183105,9.119095
1503530531700,0.18917847,-0.2232666,9.1548
1503530531710,0.14633179,-0.25183105,9.059586
1503530531720,0.2106018,-0.20898438,9.119095
1503530531730,0.19393921,-0.24468994,9.08815
1503530531739,0.19631958,-0.1661377,9.173843
1503530531750,0.20108032,-0.25897217,9.123856
1503530531760,0.14871216,-0.19232178,9.0976715
1503530531769,0.17727661,-0.21612549,9.121475
1503530531780,0.14395142,-0.17565918,9.121475
1503530531789,0.1368103,-0.21850586,9.133377
1503530531799,0.19631958,-0.24707031,9.109573
1503530531809,0.16061401,-0.25183105,9.0976715
1503530531818,0.20822144,-0.23040771,9.095291
1503530531828,0.14871216,-0.22088623,9.0334015
1503530531838,0.22488403,-0.24945068,9.123856
1503530531848,0.15109253,-0.21850586,9.15004
1503530531858,0.17489624,-0.24945068,9.185745
1503530531868,0.18203735,-0.206604,9.145279
1503530531877,0.18441772,-0.20422363,9.107193
1503530531888,0.18203735,-0.206604,9.081009
1503530531897,0.19155884,-0.23040771,9.095291
1503530531907,0.18917847,-0.20422363,9.238113
1503530531917,0.17965698,-0.19470215,9.15004
1503530531927,0.17727661,-0.20898438,9.111954
1503530531937,0.15823364,-0.20898438,9.035782
1503530531947,0.1534729,-0.27801514,9.047684
1503530531957,0.1867981,-0.22088623,9.1167145
1503530531967,0.19155884,-0.22088623,9.081009
1503530531976,0.16537476,-0.19946289,9.140518
1503530531986,0.1867981,-0.24468994,9.138138
1503530531996,0.16061401,-0.19232178,9.128616
1503530532006,0.2106018,-0.25183105,9.142899
1503530532015,0.1701355,-0.21374512,9.185745
1503530532025,0.18441772,-0.2232666,9.104813
1503530532035,0.12490845,-0.19232178,9.102432
1503530532045,0.1701355,-0.21850586,9.15242
