Time,rotX,rotY,rotZ
1503530526837,-0.0012664795,0.00047302246,0.0024261475
1503530526886,-0.0021209717,0.00047302246,0.0026397705
1503530526935,-0.0014801025,0.0006866455,0.0037078857
1503530526974,-0.0016937256,0.00090026855,0.0030670166
1503530527005,-0.0023345947,0.0011138916,0.0034942627
1503530527083,-0.0012664795,0.00047302246,0.0032806396
1503530527132,-0.0012664795,0.0006866455,0.0034942627
1503530527182,-0.0027618408,0.0015411377,0.0028533936
1503530527231,-0.0021209717,0.0011138916,0.003921509
1503530527280,-0.0019073486,0.0011138916,0.0032806396
1503530527330,-0.0016937256,0.0013275146,0.0034942627
1503530527378,-0.0016937256,0.0002593994,0.0037078857
1503530527428,-0.0012664795,0.0002593994,0.0030670166
1503530527477,-0.0014801025,-0.00016784668,0.0030670166
1503530527526,-0.0019073486,0.0006866455,0.0032806396
1503530527575,-0.0012664795,4.5776367e-05,0.0034942627
1503530527625,-0.0014801025,0.0006866455,0.0032806396
1503530527674,-0.0014801025,0.0006866455,0.0032806396
1503530527724,-0.0025482178,0.00090026855,0.0028533936
1503530527773,-0.0019073486,0.0013275146,0.0028533936
1503530527822,-0.0019073486,0.0002593994,0.004562378
1503530527871,-0.0016937256,0.0006866455,0.0037078857
1503530527920,-0.0016937256,0.0006866455,0.0034942627
1503530527969,-0.0019073486,0.0002593994,0.004135132
1503530528019,-0.0021209717,0.0006866455,0.0034942627
1503530528068,-0.0025482178,0.0006866455,0.0032806396
1503530528117,-0.0023345947,0.0013275146,0.0026397705
1503530528166,-0.0019073486,0.00047302246,0.0037078857
1503530528216,-0.0021209717,0.0011138916,0.004135132
1503530528265,-0.0016937256,0.0011138916,0.003921509
1503530528315,-0.0014801025,4.5776367e-05,0.0032806396
1503530528363,-0.0014801025,0.0011138916,0.0026397705
1503530528413,-0.0021209717,0.0013275146,0.003921509
1503530528462,-0.0016937256,0.00090026855,0.004348755
1503530528512,-0.0010528564,0.0002593994,0.0034942627
1503530528561,-0.0023345947,0.0002593994,0.004135132
1503530528610,-0.0023345947,0.00090026855,0.0034942627
1503530528659,-0.0023345947,0.00090026855,0.0034942627
1503530528708,-0.0012664795,0.00047302246,0.0037078857
1503530528758,-0.0019073486,4.5776367e-05,0.0034942627
1503530528807,-0.0016937256,0.0002593994,0.0032806396
1503530528856,-0.0012664795,0.00047302246,0.003921509
1503530528906,-0.0014801025,0.00090026855,0.004135132
